Players,Team,Type,Sold,Age
Sohraab Dhaliwal,-,AR,TBA,27
Harsh Dubey,-,AR,TBA,20
Ramakrishna Ghosh,CSK,AR,0.3,26
Raj Limbani,-,AR,Unsold,25
Ninad Rathva,-,AR,TBA,25
Vivrant Sharma,-,AR,TBA,21
Shiva Singh,-,AR,Unsold,25
Sayed Irfan Aftab,-,BOWL,TBA,24
Anirudh Chowdhary,-,BOWL,Unsold,34
Siddarth Kaul,-,BOWL,TBA,22
Prashant Painkra,-,BOWL,TBA,25
Satyanarayana Raju,MI,BOWL,0.3,25
Yeddala Reddy,-,BOWL,TBA,22
Zakary Foulkes,-,AR,TBA,31
Chris Green,-,AR,TBA,38
Shakib Al Hasan,-,AR,TBA,27
Mehidy Hasan Miraz,-,AR,TBA,27
Wiaan Mulder,-,AR,TBA,36
Dwaine Pretorius,-,AR,Unsold,33
Dasun Shanaka,-,AR,TBA,23
Shoriful Islam,-,BOWL,TBA,28
Blessing Muzarabani,-,BOWL,Unsold,26
Matthew Potts,-,BOWL,TBA,22
Tanzim Hasan Sakib,-,BOWL,TBA,27
Ben Sears,-,BOWL,TBA,36
Tim Southee,-,BOWL,TBA,23
John Turner,-,BOWL,TBA,31
Joshua Brown,-,BAT,TBA,24
Oliver Davies,-,BAT,TBA,22
Bevon Jacobs,MI,BAT,0.3,25
Atharva Kale,-,BAT,TBA,20
Abhishek Nair,-,BAT,TBA,26
Vishwanath Singh,-,BAT,TBA,27
Lone Nasir,-,AR,TBA,25
Brandon McMullen,-,AR,Unsold,30
Sudhesan Midhun,-,AR,TBA,28
Abid Mushtaq,-,AR,TBA,23
Mahesh Pithiya,-,AR,TBA,22
Maramreddy Reddy,-,AR,TBA,
Atit Sheth,-,AR,Unsold,
Jonty Sidhu,-,AR,TBA,
Mohit Avasthi,-,BOWL,TBA,
Faridoon Dawoodzai,-,BOWL,TBA,Age
Praful Hinge,-,BOWL,TBA,
Pankaj Jaswal,-,BOWL,TBA,
Vijay Kumar,-,BOWL,Unsold,29
Ashok Sharma,RR,BOWL,0.3,27
Mujtaba Yousuf,-,BOWL,TBA,32
Ashton Agar,-,AR,TBA,19
Roston Chase,-,AR,Unsold,23
Junior Dala,-,AR,TBA,29
Mahedi Hasan,-,AR,TBA,19
Nangeyalia Kharote,-,AR,TBA,22
Dan Lawrence,-,AR,TBA,22
Nathan Smith,-,AR,Unsold,31
James Anderson,-,BOWL,TBA,33
Kyle Jamieson,-,BOWL,Unsold,35
Chris Jordan,-,BOWL,Unsold,30
Hasan Mahmud,-,BOWL,TBA,20
Tymal Mills,-,BOWL,TBA,27
David Payne,-,BOWL,TBA,26
Nahid Rana,-,BOWL,TBA,42
Prayas Ray Barman,-,BAT,TBA,30
Jafar Jamal,-,BAT,TBA,36
Ayaz Khan,-,BAT,TBA,28
Kaushik Maity,-,BAT,TBA,32
Rituraj Sharma,-,BAT,TBA,34
Vaibhav Suryavanshi,RR,BAT,1.1,22
Kartik Chadha,-,AR,TBA,22
Writtick Chatterjee,-,AR,TBA,35
Prerit Dutta,-,AR,TBA,22
Rajneesh Gurbani,-,AR,TBA,25
Shubhang Hegde,-,AR,TBA,22
Saransh Jain,-,AR,TBA,14
Ripal Patel,-,AR,Unsold,21
Akash Vasisht,-,AR,TBA,32
Anirudh Kanwar,-,BOWL,TBA,26
Shubham Kapse,-,BOWL,TBA,32
Atif Mushtaq,-,BOWL,TBA,24
Dipesh Parwani,-,BOWL,TBA,32
Manish Reddy,-,BOWL,TBA,29
Chetan Sharma,-,BOWL,TBA,30
Avinash Singh,-,BOWL,Unsold,31
Alick Athanaze,-,AR,TBA,30
Hilton Cartwright,-,AR,TBA,22
Dominic Drakes,-,AR,TBA,25
Daryn Dupavillon,-,BOWL,TBA,26
